mean weighted edges,mean unweighted edges,mean nmons,std weighted edges,std unweighted edges,std nmons
5756.732673,0.719668,0.225834,472.438521,0.020879,0.007460
5749.137255,0.720005,0.225947,476.273732,0.021050,0.007511
5748.388350,0.720039,0.225980,474.016432,0.020950,0.007482
5741.134615,0.720386,0.226085,477.441721,0.021145,0.007521
5737.447619,0.720589,0.226142,476.648098,0.021146,0.007507
5739.547170,0.720495,0.226152,474.882014,0.021068,0.007473
5739.233645,0.720412,0.226137,472.668752,0.020986,0.007439
5733.370370,0.720619,0.226217,474.368559,0.020998,0.007450
5731.412844,0.720685,0.226236,472.625561,0.020913,0.007419
5725.163636,0.720949,0.226308,474.974708,0.020999,0.007423
5722.108108,0.721092,0.226360,473.915098,0.020959,0.007410
5712.250000,0.721525,0.226525,483.091542,0.021357,0.007580
5705.150442,0.721836,0.226645,486.782669,0.021516,0.007653
5700.017544,0.722011,0.226674,487.704792,0.021501,0.007625
5696.400000,0.722196,0.226674,487.113464,0.021499,0.007592
5696.517241,0.722138,0.226647,485.010922,0.021415,0.007565
5691.230769,0.722268,0.226757,486.278584,0.021370,0.007626
5694.338983,0.722219,0.226738,485.379481,0.021285,0.007596
5686.436975,0.722585,0.226859,490.898758,0.021566,0.007678
5683.133333,0.722780,0.226929,490.175665,0.021581,0.007684
5686.066116,0.722538,0.226825,489.202011,0.021655,0.007736
5680.508197,0.722827,0.226930,491.013977,0.021799,0.007789
5673.073171,0.723137,0.227050,495.861592,0.021979,0.007870
5672.225806,0.723209,0.227064,493.947510,0.021904,0.007840
5665.232000,0.723460,0.227151,498.093889,0.021995,0.007868
5662.746032,0.723575,0.227207,496.891335,0.021945,0.007862
5655.937008,0.723912,0.227325,500.797973,0.022183,0.007942
5654.062500,0.724042,0.227379,499.284985,0.022145,0.007934
5651.255814,0.724133,0.227436,498.358675,0.022083,0.007930
5646.538462,0.724314,0.227488,499.321126,0.022093,0.007921
5638.305344,0.724655,0.227613,506.191978,0.022350,0.008018
5640.166667,0.724581,0.227561,504.720747,0.022281,0.008010
5636.586466,0.724657,0.227534,504.499382,0.022215,0.007985
5630.895522,0.724944,0.227668,506.880337,0.022378,0.008104
5626.237037,0.725140,0.227732,507.870561,0.022409,0.008108
5623.558824,0.725230,0.227736,506.955892,0.022351,0.008078
5620.467153,0.725346,0.227826,506.387478,0.022311,0.008117
5621.144928,0.725379,0.227892,504.611769,0.022233,0.008124
5616.834532,0.725609,0.227964,505.336637,0.022316,0.008139
5613.300000,0.725785,0.227997,505.250033,0.022333,0.008119
5612.709220,0.725795,0.228011,503.503703,0.022254,0.008092
5609.380282,0.725941,0.228066,503.282419,0.022243,0.008089
5611.426573,0.725815,0.228030,502.112050,0.022216,0.008072
5611.125000,0.725888,0.228050,500.378563,0.022156,0.008048
5609.572414,0.725964,0.228081,498.998068,0.022098,0.008029
5608.863014,0.725983,0.228098,497.359599,0.022024,0.008004
5603.102041,0.726229,0.228179,500.529091,0.022148,0.008037
5602.594595,0.726203,0.228180,498.873188,0.022075,0.008010
5599.543624,0.726332,0.228227,498.579788,0.022057,0.008004
5596.773333,0.726492,0.228317,498.064349,0.022070,0.008052
5597.019868,0.726447,0.228299,496.421572,0.022003,0.008028
5588.671053,0.726819,0.228437,505.310011,0.022402,0.008178
5587.633987,0.726898,0.228446,503.818228,0.022350,0.008152
5585.870130,0.726939,0.228452,502.653513,0.022283,0.008126
5581.354839,0.727110,0.228503,504.152969,0.022312,0.008125
5576.666667,0.727334,0.228605,505.912698,0.022415,0.008197
5576.382166,0.727367,0.228613,504.311456,0.022347,0.008171
5573.835443,0.727519,0.228669,503.724757,0.022357,0.008175
5570.805031,0.727622,0.228707,503.580944,0.022324,0.008164
5567.762500,0.727730,0.228755,503.468637,0.022296,0.008160
5561.664596,0.728010,0.228858,507.795001,0.022507,0.008240
5563.679012,0.727915,0.228845,506.870179,0.022469,0.008216
5563.730061,0.727928,0.228812,505.313388,0.022400,0.008202
5557.048780,0.728172,0.228877,510.941190,0.022548,0.008219
5552.484848,0.728332,0.228949,512.732627,0.022573,0.008245
5545.939759,0.728667,0.229064,518.053420,0.022914,0.008353
5544.059880,0.728716,0.229076,517.067615,0.022854,0.008329
5542.166667,0.728844,0.229157,516.106643,0.022846,0.008371
5540.958580,0.728940,0.229206,514.815626,0.022812,0.008370
